City,Place,Ratings,Distance,Place_desc
Ajmer,Soniji Ki Nasiyan,3.9, 2 km  from city center ," Ajmer Jain Temple or Soniji Ki Nasiyan is a Digambar Jain temple dedicated to Lord Rishabhdev (Agnidev), the first of the 24 Tirthankara of Jainism"
Ajmer,Kishangarh City,3.8, 27 km  from city center ," Called as the marble city of India, Kishangarh city is a tourist spot in itself as the city is famous for it's art and culture, Bani Thani style of painting and the Kishangarh Fort"
Ajmer,Nareli Jain Temple,3.8, 6 km  from city center , Nareli Jain Temple is a beautiful marble temple with angular and strikingly appealing designs
Ajmer,Clock tower,3.7, 1 km  from city center , The Clock Tower at Ajmer was constructed in 1887 to mark Queen Victoria's Silver Jubilee which is why it is also known as Victoria Jubilee Clock Tower
Ajmer,City Shopping,3.6, 3 km  from city center ," The lively markets of Ajmer are well-known for their exquisite momentoes such as embroidered apparel and shoes, silver and lac jewellery, black metal showpieces, handmade jute bags and more"
Ajmer,Durga bagh gardens,3.5, 2 km  from city center , Durga Bagh is a charming garden on the banks of the majestic Ana Sagar Lake
Ajmer,Abdulla Khan's Tomb,3.4, 6 km  from city center ," Abdulla Khan's Tomb is a splendid memoir constructed by the son of Abdulla Khan, Hussain Ali Khan, who was the minister of king Farrukhsiyar"
Ajmer,Roopangarh Fort,3.2, 43 km  from city center ," A palace and former fortress in the town of Roopangarh, Roopangarh Fort is a grand monument that has now been converted into a vibrant Heritage Hotel"
Ajmer,Foy Sagar Lake,3.6, 6 km  from city center , Lake Foy Sagar is an artificial lake situated on the Foy Sagar Garden Road in Ajmer
Ajmer,Mayo College Museum,3.6, 2 km  from city center ," Housed in Jhalwar House, Mayo College Museum was ideated by Mr T"
Ajmer,Urs Festival,3.6, 16 out of 23  places to visit in Ajmer ," The famous Ajmer Sharif shrine in Rajasthan witnesses an annual Urs celebration on the death anniversary of the Sufi saint, Khwaja Moinuddin Chishti"
Ajmer,Fort Masuda,3.6, 42 km  from city center , Fort Masuda is situated 54 kms away from Ajmer in Masuda
Ajmer,Sambhar Lake,3.6, 70 km  from city center , Sambhar Lake is the largest inland saltwater lake in India
Ajmer,Government Museum,3.6, 1 km  from city center ," Housed in the premises of the ancient 16th century Akbari Fort in Ajmer, the Government Museum of Ajmer boasts of a vast collection of historical artefacts, exhibits, sculptures, miniature paintings and the like"
Ajmer,Sai Baba Temple,3.6, 3 km  from city center ," Spread over 5 beeghas, Sai Baba Temple is a beautiful temple constructed by Mr"
Ajmer,Bijay Niwas Palace,3.6, 60 km  from city center ," Bijay Niwas Palace was built by Rao Bijay Singh, almost a 100 years ago, at the same time when he founded Bijaynagar"
Ajmer,Akbari Masjid,3.6, 1 km  from city center ," Akbari Mosque is situated between Shahjahani Gate and Buland Darwaza on the Ander Kote Road, Ajmer"
Ajmer,Prithviraj Smarak,3.6, 6 km  from city center ," Located on the Taragarh Road in Ajmer, Prithviraj Smarak is a memorial dedicated to the fearless Rajput King- Prithviraj Chauhan"
Alibaug,Water Sports,4.5, 7 km  from city center ," Famous for its beaches, Alibaug also offersÂ water and adventure sports"
Alibaug,Alibaug beach,4.4, 2 km  from city center ," One of the top places to visit in Alibag, the Alibaug Beach is a black-sand beach which offers the panoramic sight of the Kolaba Fort from the shores"
Alibaug,Nagaon Beach,4.3, 6 km  from city center ," Located on the shores of the Arabian sea, Nagaon beach is 9 km away from Alibaug's city centre"
Alibaug,Kashid Beach,4.3, 24 km  from city center ," One of the most popular and alluring beaches of Maharashtra, the Kashid beach comes with a promise of a perfect and relaxed beach holiday"
Alibaug,Mandwa,4.3, 17 km  from city center , The beautiful and mesmerizing Mandwa beach is located 20km north of Alibaug
Alibaug,Murud Beach,4.3, 37 km  from city center ," A relaxing stretch of glittering white sand, Murud Beach is not as cluttered by tourist rush as are most popular beaches"
Alibaug,Kolaba fort,4.2, 2 km  from city center , Kolaba fort or Alibag fort is one of the most important tourist attraction in Alibag
Alibaug,Kihim beach,4.1, 8 km  from city center ," Located just 12 kilometres from Alibaug, Kihim Beach is famous for butterflies and birds"
Alibaug,Raigadi Bazaar,3.9, 1 km  from city center ," Located within a kilometer from the Alibaug beach, Raigad Bazar is a mall that has a lot of small bustling shops selling all kinds of small items, handicrafts, clothes, and accessories"
Alibaug,Varsoli Beach,3.7, 1 km  from city center , Varsoli beach is one of the least visited beaches of Alibaug
Alibaug,Akshi Beach,3.7, 6 km  from city center , Akshi Beach is an offbeat tourist attraction located between Nagaon beach and Alibag beach
Alibaug,Brahma Kund,3.7, 1 km  from city center , Brahma Kund is rectangular shaped kund surrounded by steps on all four sides
Alibaug,Murud-Janjira Fort,3.2, 41 km  from city center ," About 21 km from Kashid Beach, this fort is surrounded by the turquoise colored waters of the Arabian Sea"
Alibaug,Kanakeshwar forest,3.2, 10 km  from city center ," The beautiful, dense and majestically mesmerizing lush green Kanakeshwar Forest is known for its richness and abundance of flora and fauna"
Alibaug,Rewas jetty,3.2, 17 km  from city center ," The jetty is 23 km away from Alibaug, famous and significant for Mumbai Launch service"
Alibaug,Revdanda Fort and Beach,3.2, 24 km  from city center , The ruins of the Portuguese Revdanda fort are veiled in wild plantations
Alibaug,Vrindavan Farm,3.2, 2 km  from city center ," Spread over a sprawling 28 acres, is a synonym to a day trip of nature walks through countless mango, chikoo, guava, custard apple trees, cacti, crotons and more"
Alibaug,Kanakeshwar Devasthan Temple,3.2, 11 km  from city center ," Popular as Shiva temple, at a distance of about 13 km from Alibaug is the Kanakeshwar Devasthan Temple, located on a hill at an altitude of 900 feet"
Alibaug,Nagoba Mandir,3.2, 1 km  from city center ," Known for legends to its origins and its hanging clusters of countless bells, Nagoba Mandir is a significant religious centre, near the Saswane Beach"
Alibaug,Hanuman temple,3.2, 1 km  from city center ," Located within the premises of Kanakeshwar Devasthan Temple, the Hanuman temple is 13km away from Alibaug"
Alibaug,Saswane Beach,3, 14 km  from city center , Saswane Beach lies on the coastline extended after Awas and Alibaug
Alibaug,City Shopping,3, 1 km  from city center ," There are numerous small shops in Alibaug selling clothes, accessories, kolhapuri chappals, antiques, etc"
Alibaug,Villa Stay,3.6, 6 out of 29  places to visit in Alibaug , Staying in any one of the gorgeous villas facing the seaside is one of the popular things to do in Alibag
Alibaug,Underi Fort,3.6, 9 km  from city center ," Located in the heart of Mumbai Harbour, south of Prong's Lighthouse, is the Island of Underi"
Alibaug,Awas Beach,3.6, 12 km  from city center ," Located a little on the outskirts of Alibaug, Awas Beach is a beautiful stretch of golden sands lined with casuarina and suru trees"
Alibaug,Korlai Beach,3.6, 15 km  from city center , Korlai Beach is one of the hidden gems of Mumbai
Alibaug,Khanderi Island,3.6, 8 km  from city center , Located 5km off the coast of Maharashtra lies a tiny island of Khanderi
Alibaug,Karmarkar Museum,3.6, 14 km  from city center ," Displaying the life works of Padmashree VP Karmarkar, the Karmarkar Museum exhibits 150+ carved sculptures"
Alibaug,Sagargad Fort,3.6, 9 km  from city center ," Situated at the height of 1357 ft above sea level, the Sagargad Fort offer a steering view of alibaug region"
Alleppey,Backwaters,4.6, 12 km  from city center ," Formed by the amalgamation of multiple of various waters sources, backwaters give you the postcard-perfect view with coconut trees lined all along and houseboats in the middle"
Alleppey,Alappuzha Lighthouse,4.5, 14 km  from city center ," Known for its breathtaking 360-degree views, the Alappuzha Lighthouse(Alleppey lighthouse) is an old-world charm"
Alleppey,Houseboats,4.4, 13 km  from city center ," A vacation to Kerala is incomplete without spending some relaxing time, cruising through the backwaters of Alleppey"
Alleppey,Alappuzha beach,4.3, 14 km  from city center ," The Alappuzha beach, also known as the Alleppey Beach, is famous for local getaways, its intrinsic beauty and a 150 years old pier which stretches into the sea"
Alleppey,Kuttanad,3.9, 11 km  from city center ," Kuttanad is a region covering a large part of Alappuzha and some of Kottayam district, the heart of the backwaters of Kerala"
Alleppey,Krishnapuram Palace,3.8, 34 km  from city center ," Built during the reign of Travancore king Marthanda Varma, Krishnapuram Palace is a two-story structure crafted in traditional Kerala architectural style"
Alleppey,Chettikulangara Devi Temple,3.8, 26 km  from city center , Chettikulangara Devi Temple is one of the most renowned Hindu temples in Kerala primarily visited by the followers if the main deity Sree Bhadarakali
Alleppey,Ambalapuzha Sree Krishna Temple,3.4, 10 km  from city center , Ambalapuzha Sree Krishna Temple is a Hindu temple dedicated to Lord Krishna situated in Alappuzha district
Alleppey,Vembanad Lake,3.4, 15 km  from city center , Vembanad Lake is the longest lake in India
Alleppey,Nehru Trophy Snake Boat race,3.3, 9 km  from city center ," One of the most exciting events to be held in Lake in Appleppey is the Nehru Trophy Boat Race, which is a yearly competitive boating event held on the second Saturday of every August, during the Onam festival"
Alleppey,Bay Island Driftwood Museum,3.3, 19 km  from city center ," Founded by Raji Punnoose, a school-teacher in Andaman and Nicobar Islands, Bay Island Driftwood Museum is famous for its innovative modern art techniques deployed to design various kinds of root and tree-trunk sculptures"
Alleppey,Pallippuram,3.3, 35 km  from city center ," One of the islands located in the Vembanad Lake, Pallipuram is a small village known for its white sand"
Alleppey,Marari Beach,3.6, 23 km  from city center ," One of the great delights of the Malabar Coast, the Marari Beach is an idyllic serene beach"
Alleppey,St. Mary's Forane Church,3.6, 5 km  from city center , Champakulam Kalloorkadu Marth Maryam (St
Alleppey,Pathiramanal,3.6, 20 km  from city center , Pathiramanal is a beautiful island in Alappuzha which was once the property of the Thaimattatil family until 1979
Alleppey,Kayaking in Alleppey,3.6, 12 km  from city center , Kayaking is quite a famous activity in Alleppey as paddling through tiny canals and sifting through tiny bridges will make you feel very close to everyday life here
Alleppey,Revi Karunakaran Museum,3.6, 13 km  from city center , Revi Karunakaran Museum is a memorial museum built by Betty Karunakaran in the memory of her namesake husband and one of the leading coir industrialist and businessman of Kerala- Revi Karunakaran
Alleppey,Punnapra Beach,3.6, 12 km  from city center , Punnapra Beach is a serene getaway famous for its golden stretch of sand and pristine waters
Alleppey,Thottappally Beach,3.6, 16 km  from city center ," Famed through a celebrated novel and movie âChemmeenâ, Thottappally Beach is a quiet escape in the village"
Alleppey,Spa & Massage in Alleppey,3.6, 16 out of 34  places to visit in Alleppey , Alleppey has relaxing spa and massage facilities available at almost all resorts and hotels
Alleppey,Edathua Church,3.6, 10 km  from city center ," Situated on the banks of river Pampa, Edathua Church is also known as St"
Alleppey,Coir Weaving in Alleppey,3.6, 20 out of 34  places to visit in Alleppey , Coir Weaving is an important industry in Alleppey
Alleppey,Punnamada Lake,3.6, 11 km  from city center , Punnamada Lake is an extension of Vembanad Lake in Alleppey
Alleppey,St. Andrew's Basilica Arthunkal,3.6, 28 km  from city center , St
Alleppey,Mannarasala Sree Nagaraja Temple,3.6, 17 km  from city center ," Nestled in a forest glade near Haripad, Mannarasala Sree Nagaraja temple is dedicated to the snake god- Nagaraja"
Alleppey,Karumadikkuttan,3.6, 12 km  from city center ," Situated in the village of Karumadi, around 3 kms away from Alappuzha in Kerala, is the shrine of Karumadikkuttan; the name literally translating to the âboy from Karumadiâ"
Alleppey,Vijay Beach Park,3.6, 14 km  from city center ," Constructed on the southern side of the Alappuzha backwaters, Vijay Beach Park is a wonderful initiative by the state government"
Alleppey,Mullakkal Rajeshwari Temple,3.6, 12 km  from city center ," Mullakkal Rajeshwari Temple, also known as the Mullakkal Bhagwati Temple is situated on the main street of âMullakkal Theruvuâ in Alappuzha district of Kerala"
Alleppey,Thumpoly Beach,3.6, 16 km  from city center ," Located at a distance of 6 kms from Alappuzha and 90 kms from Kochi International Airport, Thumpoly is a coastal town in Kerala"
Alleppey,Pandavan Para,3.6, 23 km  from city center ," Shrouded in myth, the Pandavan Para, also known as Pandavan Rock, is believed to have been the hideout of the Pandavas"
Alleppey,International Coir Museum,3.6, 31 out of 34  places to visit in Alleppey , The International Coir museum is an embellishment to the coir industry of Kerala
Alleppey,Haripad Sree Subrahmanya Swamy Temple,3.6, 18 km  from city center ," Known as the Palani of South, Haripad Sree Subrahmanya Swamy temple is one of the largest and oldest Subramanya Swami temples in Kerala"
Alleppey,Arthunkal Beach,3.6, 32 km  from city center ," Historically frequented by the Portuguese, the beach is closely located near st Andrews Forane Church in Cherthala"
Alleppey,Thaikal Beach,3.6, 32 km  from city center ," Located in Cherthala, north of Alleppey, Thaickal Beach is a wide sandy beach known for its serene atmosphere and beautiful sunset"
Almora,Kasar Devi,4.3, 5 km  from city center , Kasar devi is one of the famous temple perched on the hill Kashya
Almora,Jageshwar,3.7, 9 km  from city center , Jageshwar is believed to be the home of one among the twelve Jyothirlingas
Almora,Chitai Temple,3.6, 4 km  from city center ," A famous temple of Lord Gollu, another name for Lord Shiva, the Chitai temple was built during the Chand regime"
Almora,Katarmal Sun Temple,3.6, 6 km  from city center ," Being the second most important Sun temple, this 800 year old temple has one main temple and 45 smaller shrines"
Almora,Kasar Devi Temple,3.6, 5 km  from city center , Kasar Devi Temple is located 5 km away from Almora and it dates back to 2nd Century
