Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Stayzone Royal INN,3.7,Trivandrum,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,909
Hotel Royal Regency,3.7,Aurangabad,2-star hotel,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,914
Leela Guest House,3.6,Varanasi,3-star hotel,Free Wi-Fi,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,914
Procida Hostel by Zero Jhanjhat,4.4,Pune,Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,0,0,0,0,921
Hotel Alpha Omega,5,Sikkim,0,0,0,0,0,0,0,0,0,930
Hotel Mamata,3.5,Vijayawada,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,944
Hotel DownTown,4.1,Meerut,Free Wi-Fi,Pool,Kitchen,Full-service laundry,Smoke-free,0,0,0,0,947
Stay Villa Dormitory (for Male and Female),5,Mumbai,Bungalow,Sleeps 28,28 bedrooms,7 bathrooms,Air conditioning,Kid-friendly,Kitchen,Smoke-free,No fitness center,952
Hotel Prathiba Heritage,3.7,Trivandrum,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,Smoke-free,0,0,956
Hotel Meera,3.8,Raipur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,959
HOTEL RAAMUS,3.6,Coimbatore,1-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Full-service laundry,968
Hotel Regency,4.1,Amravati,3-star hotel,Free breakfast,Free parking,Wi-Fi,Room service,Full-service laundry,Kid-friendly,Smoke-free,0,969
goSTOPS Varanasi,4.2,Varanasi,2-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Pet-friendly,Restaurant,Airport shuttle,Full-service laundry,978
Adidev Group of Homestays,4.6,Dehradun,Breakfast,Free Wi-Fi,Paid parking,Kitchen,Full-service laundry,0,0,0,0,1005
Royal Guest House,4.1,Varanasi,3-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,Full-service laundry,1009
Hotel Melody Park,4,Kanyakumari,2-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,1016
Pleasant Inn,3.9,Pondicherry,1-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,1016
My Special House,2.9,Indore,Sleeps 2,1 bedroom,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,1020
Exotic Villa Homestay,4.3,Guwahati,Breakfast,Free Wi-Fi,Free parking,Room service,Kitchen,Full-service laundry,Kid-friendly,0,0,1026
HOTEL ORCHID INN,4.2,Kolkata,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,0,0,1027
Dula Homestay,4.7,Guwahati,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Kitchen,Accessible,0,0,0,1034
Hotel Steel Regency,3.6,Durgapur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,1039
Moustache Jaipur,4.4,Jaipur,2-star hotel,Free Wi-Fi,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,0,0,1039
Kerala Bamboo House,4.1,Varkala,2-star hotel,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Beach access,Room service,Full-service laundry,1043
Capital O Jubilee Banjara Suites Near City Center Mall,3.2,Hyderabad,Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,1044
Aishwarya Le Royal (Best Budget Hotel in Mysore),3.7,Mysore,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,0,0,1048
Garden Retreat Hotel,4.1,Sikkim,Breakfast,Free Wi-Fi,Free parking,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,0,1050
Hotel South Gate Residency,3.9,Kochi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,1051
Hotel anvisha executive,4.4,Pune,0,0,0,0,0,0,0,0,0,1067
Hotel Embassy Dehradun & The Trekkers Hostel,3.8,Dehradun,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,1069
The Paramount Hotel,4.4,Nagpur,Free Wi-Fi,Paid parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Smoke-free,0,1071
Capsule Pod Hotel,4.4,Jamshedpur,0,0,0,0,0,0,0,0,0,1073
Hotel Chanma International,3.4,Coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,1082
"Rahi Tourist Bungalow, Varanasi",3.9,Varanasi,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,1082
Hotel kartiki,4,Aurangabad,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,Kid-friendly,1087
Zemu Gangtok,4.7,Sikkim,Breakfast,Free Wi-Fi,Free parking,Pet-friendly,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,1098
backpackers park,4,Kolkata,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Full-service laundry,0,0,1103
Airport inn residency,3.7,Mumbai,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1109
"The Lost Hostels, Varkala - Helipad",4.5,Varkala,Breakfast,Wi-Fi,Beach access,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,0,1113
Krishnam Guest House,4,Gwalior,0,0,0,0,0,0,0,0,0,1115
Hotel Nest N Rest - Mumbai,4.4,Mumbai,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,0,0,0,1116
Jugglers Backpack,4.7,Pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Business center,1116
North Centre Hotel,4.7,Kochi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Airport shuttle,Full-service laundry,Kid-friendly,Smoke-free,1118
Hotel Anand Palace,3.7,Gwalior,3-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,Full-service laundry,1119
Hotel Kuber Palace,4.6,Ranchi,1-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,1120
Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,3.7,Trivandrum,Breakfast,Free Wi-Fi,Free parking,Kitchen,Airport shuttle,Full-service laundry,0,0,0,1120
"Soul, Varkala - Black Beach",4.3,Varkala,0,0,0,0,0,0,0,0,0,1120
"The Hosteller Goa, Arpora",4.3,Goa,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,0,0,0,1157
Safire Residency,4,Trivandrum,3-star hotel,Wi-Fi,Air conditioning,Pet-friendly,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1165
Hiltop Lodge,3.8,Guwahati,Sleeps 5,2 bedrooms,Fireplace,Paid parking,Free Wi-Fi,No air conditioning,No crib,No elevator,No fitness center,1166
Hotel Anchit - Walking Distance To Golden Temple,4.4,Amritsar,Breakfast,Free Wi-Fi,Pool,Air conditioning,Room service,Full-service laundry,Smoke-free,0,0,1176
New Cape Hotel,3.9,Kanyakumari,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible,1177
KKM Kanyakumari,4.4,Kanyakumari,Free parking,Air conditioning,Breakfast,Wi-Fi,Room service,Smoke-free,0,0,0,1179
Hotel Rainbow Tower,4.5,Hyderabad,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1187
Hotel Sai Rama,4.4,Vijayawada,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Kid-friendly,1188
Hotel D'Inn,3.6,Pondicherry,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1190
Hotel Fortune..,3.6,Patna,3-star hotel,Free Wi-Fi,Paid parking,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,1200
Hotel Jammu,4.6,Jammu,Restaurant,Fitness center,Pool,Air conditioning,Air conditioning,Airport shuttle,Breakfast included,Accessible,Fitness center,1206
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,Delhi,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1212
The Prayaraj House,3,Allahabad,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,No crib,No elevator,No fitness center,1216
Zostel Aurangabad,4.4,Aurangabad,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Smoke-free,0,0,0,0,1219
Kalpana Inn,4,Durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1223
Hotel tulsi palace,3.7,Gandhinagar,0,0,0,0,0,0,0,0,0,1230
Hotel Countryside,3.1,Gwalior,0,0,0,0,0,0,0,0,0,1230
Hello Stay Hotel Bhubaneswar,4.2,Bhubaneswar,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1231
Majestic Lodge,4.1,Trivandrum,Free breakfast,Free Wi-Fi,Paid parking,Kitchen,0,0,0,0,0,1236
Hotel Manorama,4,Mangalore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1237
Hotel SJ Pride,4.8,Bhubaneswar,2-star hotel,Free Wi-Fi,Pool,Restaurant,Kitchen,Airport shuttle,Full-service laundry,0,0,1239
The Grand Plaza Hotel,3.8,Hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,1240
EMA Family Rooms,3.8,Pune,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,1241
"Hotel Royale Heritage, Nashik",3.8,Nashik,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,1242
Hotel Sonam Delek,4.3,Sikkim,2-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Full-service laundry,Kid-friendly,0,1248
Hotel Modi Samrat,4.3,Aurangabad,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Restaurant,Room service,Kitchen,Full-service laundry,Smoke-free,1263
PLANET RESIDENCY,4.5,Trivandrum,Free Wi-Fi,Paid parking,Air conditioning,Breakfast,Kitchen,0,0,0,0,1263
Kinsfolk,4,Ghaziabad,Free breakfast,Free Wi-Fi,Paid parking,Pool,Room service,Kitchen,Full-service laundry,0,0,1275
Hotel Regency,4.1,Amravati,3-star hotel,Free breakfast,Free parking,Wi-Fi,Room service,Full-service laundry,Kid-friendly,Smoke-free,0,1276
Kohinoor Hotel and Restaurant Benachity (A Legend since 1956),3.7,Durgapur,0,0,0,0,0,0,0,0,0,1280
Ceremony Hotel and Banquets,4.1,Faridabad,0,0,0,0,0,0,0,0,0,1282
Pratikruti The Lakeview Resort,4.2,Pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1284
Hotel Afsha,3.4,Kolkata,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,0,1285
Hotel Kalyani,3.9,Mysore,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,1288
Hotel Noida International,3.6,Noida,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1288
Hotel Shri Niwas,3.7,Indore,2-star hotel,Free Wi-Fi,Paid parking,Pool,Kitchen,Full-service laundry,Kid-friendly,0,0,1289
Divine's The Elite Zong,4.5,Sikkim,Free breakfast,Free Wi-Fi,Free parking,Restaurant,Room service,Accessible,Kid-friendly,0,0,1290
Hotel Shivam Residency,3.9,Raipur,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,1291
Townhouse 1166 Bsa Townhouse,3.7,Lucknow,Apartment,Sleeps 3,1 bedroom,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator,1296
Hotel Mundrika Deluxe,3.2,Patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1300
Govind Niwas Home Stay,2.6,Gwalior,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,1304
"The Lost Hostels, Varkala - Helipad",4.5,Varkala,Breakfast,Wi-Fi,Beach access,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,0,1304
A P Home's,4.4,Guwahati,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Cable TV,Free Wi-Fi,No crib,No elevator,No fitness center,1306
Hotel Grand Palace,4,Coimbatore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Restaurant,Room service,Airport shuttle,Full-service laundry,1310
Green Villa Kashi,3.1,Varanasi,Sleeps 2,1 bedroom,Air conditioning,Paid parking,Free Wi-Fi,No crib,No elevator,No fireplace,No fitness center,1313
The Hosteller Dehradun,4.8,Dehradun,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,0,0,0,1315
Super OYO Hotel Siddharth Inn,3.8,Gandhinagar,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,1315
"The Hosteller Goa, Candolim",4.7,Goa,Free Wi-Fi,Free parking,Pool,Air conditioning,Breakfast,0,0,0,0,1315
IVY Residency,4.4,Coimbatore,Free Wi-Fi,Free parking,Air conditioning,0,0,0,0,0,0,1316
Hotel Sohrai inn,4.5,Ranchi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible,1317
Fabhotels - Hotel Le Golden,3.8,Amritsar,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,1326
Qubestay Airport Capsule Hotel And Hostel,4.1,Mumbai,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,0,0,0,1334
Hotel View - A Boutique Hotel,4.2,Faridabad,0,0,0,0,0,0,0,0,0,1337
Hotel Yash Residency Near Assi Ghat & BHU,3.8,Varanasi,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Pet-friendly,Room service,Full-service laundry,Accessible,1338
Central Hill Resort The Mall Road Gangtok,3.5,Sikkim,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,1340
Itsy by Treebo - Royal Galaxy,4,Allahabad,Free breakfast,Free Wi-Fi,Paid parking,Pool,Pet-friendly,Room service,Kitchen,Full-service laundry,0,1342
Tropical Bay,3.8,Goa,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Bar,Kitchen,Kid-friendly,0,1344
Aristro Club,4,Kolkata,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1344
Hotel Sardar,3.5,Pune,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,1344
Floating Heritage Group,3.9,Srinagar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,1344
Hotel Merlin Palace,4.8,Srinagar,0,0,0,0,0,0,0,0,0,1344
Hotel Venkateswara,3.7,Trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1347
Hotel Ganga Sagar,4.3,Mangalore,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,Smoke-free,1348
Hotel Ganga Sagar,4.3,Mangalore,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,Smoke-free,1348
HOTEL HIGHLAND,4,Trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1350
7 Apple Hotel - Vadodara,4.4,Vadodara,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,1352
Hotel Sivamurugan Kanyakumari,4,Kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,1357
